URL,Title,Address
https://newyork.craigslist.org/mnh/egr/6173642991.html,"Project Designer, Retail Design",New York
https://newyork.craigslist.org/que/egr/6173620255.html,Electrical Engineer Assistant,Maspeth
https://newyork.craigslist.org/mnh/egr/6173601324.html,Architecture Job Captain,New York
https://newyork.craigslist.org/mnh/egr/6173563139.html,Interior Design Project Manager,New York
https://newyork.craigslist.org/brk/egr/6173478645.html,Architect Summer Internship,Brooklyn Hts
https://newyork.craigslist.org/mnh/egr/6173420271.html,Interior Designer/Architect for Design Build firm (Financial District),Financial District
https://newyork.craigslist.org/que/egr/6173396601.html,Demolition / Project Estimator 5 Boroughs,5 Boroughs
https://newyork.craigslist.org/lgi/egr/6173371830.html,Field Inspector/Engineer,Hicksville
https://newyork.craigslist.org/mnh/egr/6173359670.html,HVAC Project Superintendent,Greenwich Village
https://newyork.craigslist.org/brk/egr/6173338865.html,"Code Inspector (Bayridge, Brooklyn)",
https://newyork.craigslist.org/brk/egr/6173338227.html,"Senior Analyst-Construction (Bayridge, Brooklyn)",
https://newyork.craigslist.org/brk/egr/6173336328.html,"Project Analyst (Bayridge, Brooklyn)",
https://newyork.craigslist.org/mnh/egr/6173326579.html,CERTIFIED CONCRETE CONSTRUCTION SPECIAL INSPECTORS,GREATER NYC AREA
https://newyork.craigslist.org/mnh/egr/6172131271.html,Project Architect,Chelsea
https://newyork.craigslist.org/mnh/egr/6171931353.html,Assistant Project Manager,Midtown West
https://newyork.craigslist.org/mnh/egr/6171929690.html,Construction Site Super/Project Manager,Midtown West
https://newyork.craigslist.org/mnh/egr/6171416295.html,NYC Interiors Construction Estimator,Midtown West
https://newyork.craigslist.org/que/egr/6170746325.html,Junior Architect,
https://newyork.craigslist.org/mnh/egr/6170112871.html,"DOB, NYFD, L/M APPLICATIONS",Downtown
https://newyork.craigslist.org/brk/egr/6169834558.html,Architecture/ Interior Design Intern,Brooklyn
https://newyork.craigslist.org/mnh/egr/6169776124.html,Junior Architect,Midtown
https://newyork.craigslist.org/mnh/egr/6169774917.html,Intermediate Architect,Midtown
https://newyork.craigslist.org/mnh/egr/6169708304.html,Project Manager,
https://newyork.craigslist.org/mnh/egr/6169703942.html,Controls/ Instrumentation Engineer,Midtown
https://newyork.craigslist.org/brk/egr/6169702790.html,Architecture office looking for Expediting Coordinator,
https://newyork.craigslist.org/mnh/egr/6169602932.html,Project Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/6169601005.html,Building Envelope Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/6169599107.html,Building Envelope Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/6169509040.html,CIVIL ENGINEER - SPECIAL INSPECTIONS -WELDING / CONCRETE / SOIL+,GREATER NYC AREA
https://newyork.craigslist.org/mnh/egr/6169501143.html,Senior Technical Architect for CA Role,SoHo
https://newyork.craigslist.org/lgi/egr/6169379430.html,Steel Estimator,Nassau County
https://newyork.craigslist.org/brk/egr/6169374332.html,AutoCAD Drafter or Staff Engineer,E 19th St. & Kings Hwy
https://newyork.craigslist.org/mnh/egr/6169319195.html,Inside Architectural Support Representative,
https://newyork.craigslist.org/fct/egr/6169314944.html,Landscape Design Sales -- Landscape Designer/Architect,
https://newyork.craigslist.org/que/egr/6169192506.html,Project Architect(s),Queens
https://newyork.craigslist.org/wch/egr/6168963161.html,Architectural Draftsperson,Mt. Vernon
https://newyork.craigslist.org/mnh/egr/6168957199.html,Freelance Junior Architect/Interior Designer for Design Set Drafting,West Village
https://newyork.craigslist.org/mnh/egr/6168269231.html,Interior Designer Internship,Midtown East
https://newyork.craigslist.org/jsy/egr/6168252599.html,Accident Reconstruction Expert,Tri-State Area
https://newyork.craigslist.org/brk/egr/6168250655.html,Drafter wanted for high-end metal design shop,Brooklyn
https://newyork.craigslist.org/que/egr/6168234893.html,Intermediate Architect (residential; commercial),Queens
https://newyork.craigslist.org/wch/egr/6168147766.html,Junior Architect,Dobbs Ferry
https://newyork.craigslist.org/mnh/egr/6168142293.html,Construction Project Engineer,
https://newyork.craigslist.org/brk/egr/6168111454.html,Drafter/Shop Drawings/Design Development 2D and 3D,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/6168050466.html,Project Architect,TriBeCa
https://newyork.craigslist.org/que/egr/6168039888.html,AutoCAD Draftsman Needed,Maspeth
https://newyork.craigslist.org/mnh/egr/6168008416.html,Intermediate Architect,Flatiron
https://newyork.craigslist.org/stn/egr/6167934544.html,Marine Construction Manager,Staten Island
https://newyork.craigslist.org/stn/egr/6167930300.html,Construction Project Manager,Staten Island
https://newyork.craigslist.org/stn/egr/6167923484.html,Asphalt Plant Manager,Staten Island
https://newyork.craigslist.org/mnh/egr/6167899257.html,Draftsperson Detailer,Long Island City
https://newyork.craigslist.org/mnh/egr/6167862391.html,Architectural Firm Seeking Interior Design Intern,Upper West Side
